Code,Domaine,zoM49,Zone,Code-Élé,Élément,Code-Produit,Produit,Code-année,Année,Unité,Valeur,Symbole,Description-Symbole,Note
"QCL,""Cultures et produits animaux"",""250"",""France"",""5419"",""Rendement"",""0111"",""Blé"",""1995"",""1995"",""100 g/ha"",""65079"",""A"",""Chiffre officiel"","""""
"QCL,""Cultures et produits animaux"",""250"",""France"",""5419"",""Rendement"",""0111"",""Blé"",""1996"",""1996"",""100 g/ha"",""71361"",""A"",""Chiffre officiel"","""""
"QCL,""Cultures et produits animaux"",""250"",""France"",""5419"",""Rendement"",""0111"",""Blé"",""1997"",""1997"",""100 g/ha"",""66288"",""A"",""Chiffre officiel"","""""
"QCL,""Cultures et produits animaux"",""250"",""France"",""5419"",""Rendement"",""0111"",""Blé"",""1998"",""1998"",""100 g/ha"",""76063"",""A"",""Chiffre officiel"","""""
"QCL,""Cultures et produits animaux"",""250"",""France"",""5419"",""Rendement"",""0111"",""Blé"",""1999"",""1999"",""100 g/ha"",""72395"",""A"",""Chiffre officiel"","""""
"QCL,""Cultures et produits animaux"",""250"",""France"",""5419"",""Rendement"",""0111"",""Blé"",""2000"",""2000"",""100 g/ha"",""71175"",""A"",""Chiffre officiel"","""""
"QCL,""Cultures et produits animaux"",""250"",""France"",""5419"",""Rendement"",""0111"",""Blé"",""2001"",""2001"",""100 g/ha"",""66169"",""A"",""Chiffre officiel"","""""
"QCL,""Cultures et produits animaux"",""250"",""France"",""5419"",""Rendement"",""0111"",""Blé"",""2002"",""2002"",""100 g/ha"",""74455"",""A"",""Chiffre officiel"","""""
"QCL,""Cultures et produits animaux"",""250"",""France"",""5419"",""Rendement"",""0111"",""Blé"",""2003"",""2003"",""100 g/ha"",""62500"",""A"",""Chiffre officiel"","""""
"QCL,""Cultures et produits animaux"",""250"",""France"",""5419"",""Rendement"",""0111"",""Blé"",""2004"",""2004"",""100 g/ha"",""75788"",""A"",""Chiffre officiel"","""""
"QCL,""Cultures et produits animaux"",""250"",""France"",""5419"",""Rendement"",""0111"",""Blé"",""2005"",""2005"",""100 g/ha"",""69887"",""A"",""Chiffre officiel"","""""
"QCL,""Cultures et produits animaux"",""250"",""France"",""5419"",""Rendement"",""0111"",""Blé"",""2006"",""2006"",""100 g/ha"",""67414"",""A"",""Chiffre officiel"","""""
"QCL,""Cultures et produits animaux"",""250"",""France"",""5419"",""Rendement"",""0111"",""Blé"",""2007"",""2007"",""100 g/ha"",""62542"",""A"",""Chiffre officiel"","""""
"QCL,""Cultures et produits animaux"",""250"",""France"",""5419"",""Rendement"",""0111"",""Blé"",""2008"",""2008"",""100 g/ha"",""71018"",""A"",""Chiffre officiel"","""""
"QCL,""Cultures et produits animaux"",""250"",""France"",""5419"",""Rendement"",""0111"",""Blé"",""2009"",""2009"",""100 g/ha"",""74478"",""A"",""Chiffre officiel"","""""
"QCL,""Cultures et produits animaux"",""250"",""France"",""5419"",""Rendement"",""0111"",""Blé"",""2010"",""2010"",""100 g/ha"",""70405"",""A"",""Chiffre officiel"","""""
"QCL,""Cultures et produits animaux"",""250"",""France"",""5419"",""Rendement"",""0111"",""Blé"",""2011"",""2011"",""100 g/ha"",""66563"",""A"",""Chiffre officiel"","""""
"QCL,""Cultures et produits animaux"",""250"",""France"",""5419"",""Rendement"",""0111"",""Blé"",""2012"",""2012"",""100 g/ha"",""71512"",""A"",""Chiffre officiel"","""""
"QCL,""Cultures et produits animaux"",""250"",""France"",""5419"",""Rendement"",""0111"",""Blé"",""2013"",""2013"",""100 g/ha"",""72656"",""A"",""Chiffre officiel"","""""
"QCL,""Cultures et produits animaux"",""250"",""France"",""5419"",""Rendement"",""0111"",""Blé"",""2014"",""2014"",""100 g/ha"",""73530"",""A"",""Chiffre officiel"","""""
"QCL,""Cultures et produits animaux"",""250"",""France"",""5419"",""Rendement"",""0111"",""Blé"",""2015"",""2015"",""100 g/ha"",""78008"",""A"",""Chiffre officiel"","""""
"QCL,""Cultures et produits animaux"",""250"",""France"",""5419"",""Rendement"",""0111"",""Blé"",""2016"",""2016"",""100 g/ha"",""52896"",""A"",""Chiffre officiel"","""""
"QCL,""Cultures et produits animaux"",""250"",""France"",""5419"",""Rendement"",""0111"",""Blé"",""2017"",""2017"",""100 g/ha"",""72538"",""A"",""Chiffre officiel"","""""
"QCL,""Cultures et produits animaux"",""250"",""France"",""5419"",""Rendement"",""0111"",""Blé"",""2018"",""2018"",""100 g/ha"",""67680"",""A"",""Chiffre officiel"","""""
"QCL,""Cultures et produits animaux"",""250"",""France"",""5419"",""Rendement"",""0111"",""Blé"",""2019"",""2019"",""100 g/ha"",""77428"",""A"",""Chiffre officiel"","""""
"QCL,""Cultures et produits animaux"",""250"",""France"",""5419"",""Rendement"",""0111"",""Blé"",""2020"",""2020"",""100 g/ha"",""66776"",""A"",""Chiffre officiel"","""""
"QCL,""Cultures et produits animaux"",""250"",""France"",""5419"",""Rendement"",""0111"",""Blé"",""2021"",""2021"",""100 g/ha"",""69284"",""A"",""Chiffre officiel"","""""
"QCL,""Cultures et produits animaux"",""250"",""France"",""5419"",""Rendement"",""0111"",""Blé"",""2022"",""2022"",""100 g/ha"",""69967"",""A"",""Chiffre officiel"","""""
